kafka,4881563.368126714,75326,69559,2011-08-15 18:06:16,-710,13689,7,20,False,119,6980,1286,3815,,627,,15538,314,19503,0.04011426610273855,150.76,3,5,40,82,7.793045814689051,354,2012-10-23,2024-08-14,12,https://github.com/apache/kafka
knox,3863104.6460014815,11121,616,2014-03-01 08:00:06,72,248,4,4,False,1,434,96,541,,51875,,54137,90,3234,0.05832117414814179,76.17,45,1,6,5,30.686848317922486,345,2014-02-19,2024-08-12,12,https://github.com/apache/knox
kudu,9422959.918027366,7074,4300,2016-01-29 08:00:06,426,648,0,4,False,-16,490,164,0,,-1,,40773,1807,9815,0.021403022288503885,22.52,0,5,60,91,8.128009354794331,330,2016-07-20,2024-08-13,12,https://github.com/apache/kudu
kvrocks,1092952.5366726296,1073,7192,2019-08-15 06:04:51,44,436,PRs missing,2,False,0,Commits or Issues or PRs missing,26,0,,PRs missing,,PRs missing,453,2282,0.0,69.73,7,3,7,19,8.963407595521183,343,2023-07-21,2024-07-15,12,https://github.com/apache/kvrocks
kylin,3423467.6758924467,25416,8779,2015-01-03 08:00:05,569,1533,-10,2,False,-1,1252,360,3418,,24924,,78576,1324,11325,0.00557244842751764,48.76,28,1,30,10,9.744745577412123,374,2015-11-18,2024-08-09,12,https://github.com/apache/kylin
kyuubi,994922.4987190436,2669,4912,2017-12-18 09:05:10,153,884,-261,5,False,-7,201,86,1445,,46092,,69559,983,4202,0.0,52.24,25,6,8,29,26.109845054584174,429,2022-12-22,2024-07-15,12,https://github.com/apache/kyuubi
Lens,1869857.867993928,5481,219,2014-11-12 08:00:06,105,101,-3,3,False,-24,104,55,0,,-1,,35949,100,2370,0.03259259259259259,69.67,36,3,4,12,4.54013573601685,185,2015-08-19,2020-06-15,12,https://github.com/apache/Lens
Lenya,Issues missing,Issues missing,46,2011-12-26 08:00:11,543,10,3,2,True,-10,Commits or Issues or PRs missing,29,0,,-1,,41125,344,12523,Issues missing,8.72,26,0,0,2,27.470004443786106,248,2004-08-18,2024-02-02,12,https://github.com/apache/Lenya
Libcloud,6767726.1931034485,576,4980,2009-12-11 09:00:14,-20,928,0,3,False,5,644,480,2887,,75926,,25957,496,9984,0.00041395297494204657,90.82,45,0,16,2,31.055776143893183,154,2011-05-19,2024-07-15,12,https://github.com/apache/Libcloud
linkis,1045868.835408771,1322,7689,2019-07-23 06:41:51,190,1151,-148,8,False,-29,74,53,1062,,7621,,61331,720,3524,0.0,8.55,2,1,13,61,35.37389338858542,225,2022-12-22,2024-07-16,12,https://github.com/apache/linkis
