struts,7168724.5942138685,10070,3377,2014-01-15 08:00:08,-31,809,-1,2,False,-1,595,102,247,,44359,,15609,631,7954,0.036725760030957504,54.06,3,7,9,39,29.216465377789643,370,2014-01-15,2024-08-19,12,https://github.com/apache/struts
systemds,12894107.375763496,6840,2521,2015-11-10 08:00:06,186,463,-54,2,False,2,344,179,202,,54,,34573,962,8020,0.002367422978682517,54.2,0,41,34,107,12.688299026406492,944,2015-11-10,2024-08-24,12,https://github.com/apache/systemds
creadur-tentacles,1157377.042375,149,12,2013-04-29 22:27:13,-47,6,3,2,False,3,15,4,0,,1,,24032,20,443,0.0031559963931469793,2.06,0,0,0,0,3.9215686274509802,35,2013-04-29,2024-08-22,12,https://github.com/apache/creadur-tentacles
tomcat,Issues missing,Issues missing,19839,2011-10-01 07:00:19,463,4963,0,1,False,2,Commits or Issues or PRs missing,153,234,,18620,,63942,1471,75666,Issues missing,34.86,0,28,43,119,11.307561197088374,621,2011-10-01,2024-08-22,12,https://github.com/apache/tomcat
tomee,16011640.543372354,8010,1592,2013-01-22 08:00:16,133,692,135,3,False,5,613,164,2418,,19470,,62876,647,17861,0.010498823854988239,55.06,0,27,20,181,23.82341534155102,556,2013-01-22,2024-08-22,12,https://github.com/apache/tomee
tsfile,387530.9285714286,63,207,2023-11-17 08:07:14,-252,47,-10,1,False,12,36,4,230,,-1,,3548,133,1293,0.0,39.02,35,5,3,9,15.031327697662855,397,2023-11-17,2024-08-20,12,https://github.com/apache/tsfile
turbine-core,25935162.366290323,12,25,2018-01-07 08:00:08,5,9,0,3,False,0,12,5,395,,-1,,11002,75,2657,0.0011977123693744946,17.08,6,0,0,2,14.219888960229634,186,2018-01-07,2024-07-12,12,https://github.com/apache/turbine-core
velocity-master,12298566.348089265,196,4,2020-04-02 14:29:38,-2,2,0,1,True,0,44,1,0,,-1,,60337,2,81,11.68,0.0,0,0,0,0,NaN,0,2020-04-02,2024-08-22,12,https://github.com/apache/velocity-master
velocity-tools,17179143.760241207,223,129,2013-11-22 08:00:14,0,39,1,1,True,0,44,7,22,,-1,,23082,84,1841,0.009664250604015663,27.23,16,1,1,1,3.2554543892801924,344,2013-11-22,2024-08-02,12,https://github.com/apache/velocity-tools
ant-antlibs-vss,Issues missing,Issues missing,9,2014-05-28 07:00:08,2,5,PRs missing,2,True,-2,Commits or Issues or PRs missing,3,0,,PRs missing,,PRs missing,0,16,Issues missing,2.73,1,0,0,0,14.180672268907562,32,2014-05-28,2020-08-16,12,https://github.com/apache/ant-antlibs-vss
mina-vysper,5652957.029474309,21,55,2019-01-12 09:33:56,0,11,2,2,True,0,14,6,0,,-1,,57123,20,857,0.0034666757298711893,63.25,37,0,1,7,5.588872650304894,156,2019-01-12,2024-02-02,12,https://github.com/apache/mina-vysper
whimsy,6006352.938352304,1521,203,2015-11-26 06:56:46,225,67,1,2,False,-1,136,34,610,,-1,,29318,462,8082,0.022212908633696564,1.56,28,2,2,27,13.956126449245142,339,2015-11-26,2024-08-16,12,https://github.com/apache/whimsy
creadur-whisker,304532.4568125,63,16,2013-04-29 22:27:14,-52,6,5,1,False,3,11,4,0,,-1,,80619,9,853,0.004621400639886242,29.61,0,0,2,0,34.119496855345915,31,2013-04-29,2024-08-19,12,https://github.com/apache/creadur-whisker
xalan-c,6109325.169527665,71,85,2019-04-24 02:57:39,67,29,-8,2,True,-3,17,6,0,,-1,,72067,93,4899,0.014569040296506585,4.64,1,0,24,2,28.378274784875142,137,2019-04-24,2024-03-21,12,https://github.com/apache/xalan-c
